Wydział,Prowadzący,Nazwa przedmiotu,Typ zajęć,Kierunek
Wydział Zarządzania i Transportu,dr inż. Ewa Lipianin-Zontek,Content marketing,ćw,Kom int
Wydział Zarządzania i Transportu,dr inż. Aneta Madyda,Otoczenie kulturowe w biznesie,wyk,Zarz
Wydział Zarządzania i Transportu,dr inż. Aneta Madyda,Zarządzanie ryzykiem,ćw,Zarz
Wydział Zarządzania i Transportu,dr inż. Aneta Madyda,Savoir vivre w biznesie,ćw,Zarz
Wydział Zarządzania i Transportu,dr inż. Aneta Madyda,Zarządzanie ryzykiem,wyk,Zarz
Wydział Zarządzania i Transportu,dr inż. Aneta Madyda,Nauka o organizacji,wyk,Zarz
Wydział Zarządzania i Transportu,dr inż. Aneta Madyda,Savoir vivre w biznesie,wyk,Zarz
Wydział Zarządzania i Transportu,dr inż. Aneta Madyda,Otoczenie kulturowe w biznesie,ćw,Zarz
Wydział Zarządzania i Transportu,dr inż. Aneta Madyda,Zarządzanie przedsiębiorstwem turystycznym,wyk,Tur
Wydział Zarządzania i Transportu,dr inż. Aneta Madyda,Zarządzanie przedsiębiorstwem turystycznym,ćw,Tur
Wydział Zarządzania i Transportu,dr inż. Irena Szewczyk,Techniki menedżerskie,ćw,Zarz
Wydział Zarządzania i Transportu,dr inż. Irena Szewczyk,Nauka o organizacji,ćw,Zarz
Wydział Zarządzania i Transportu,dr inż. Irena Szewczyk,Techniki menedżerskie,wyk,Zarz
Wydział Zarządzania i Transportu,dr inż. Irena Szewczyk,Architektura oganizacji,konw,Zarz
Wydział Zarządzania i Transportu,dr inż. Irena Szewczyk,Ofertowanie usług turystycznych,proj,Tur
Wydział Zarządzania i Transportu,dr inż. Zbigniew Zontek,Marketing w handlu i usługach,ćw,Zarz
Wydział Zarządzania i Transportu,dr inż. Zbigniew Zontek,Marketing w handlu i usługach,wyk,Zarz
Wydział Zarządzania i Transportu,dr inż. Zbigniew Zontek,Podstawy marketingu / E-marketing,wyk,Soc
Wydział Zarządzania i Transportu,dr inż. Zbigniew Zontek,Zachowania konsumentów usług turystycznych / Prosument w usługach turystycznych,ćw,Tur
Wydział Zarządzania i Transportu,dr inż. Zbigniew Zontek,Metody badań jakościowych,ćw,Kom int
Wydział Zarządzania i Transportu,dr inż. Zbigniew Zontek,Metody badań jakościowych,wyk,Kom int
Wydział Zarządzania i Transportu,dr inż. Zbigniew Zontek,Content marketing,wyk,Kom int
Wydział Zarządzania i Transportu,prof. UBB dr hab. Katarzyna Żyminkowska,Marketing internetowy,ćw,Zarz
Wydział Zarządzania i Transportu,prof. UBB dr hab. Katarzyna Żyminkowska,Marketing internetowy,wyk,Zarz
Wydział Zarządzania i Transportu,prof. UBB dr hab. Katarzyna Żyminkowska,Marketing,wyk,Zarz
Wydział Zarządzania i Transportu,prof. UBB dr hab. Katarzyna Żyminkowska,Reklama kontekstowa,ćw,Kom int
Wydział Zarządzania i Transportu,prof. dr hab. n. t. Iwona Adamiec-Wójcik,Metody matematyczne w transporcie,lab,Trans
Wydział Zarządzania i Transportu,prof. dr hab. n. t. Iwona Adamiec-Wójcik,Metody matematyczne w transporcie,wyk,Trans
Wydział Zarządzania i Transportu,prof. dr hab. n. t. Iwona Adamiec-Wójcik,Contemporary transport systems (w jęz. ang.),wyk,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Lucyna Brzozowska,Podstawy grafiki komputerowej,lab,Soc
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Lucyna Brzozowska,Podstawy programowania,lab,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Lucyna Brzozowska,Ochrona środowiska w transporcie,ćw,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Lucyna Brzozowska,Ochrona środowiska w transporcie,wyk,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Łukasz Drąg,Zastosowanie GIS w logistyce,wyk,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Łukasz Drąg,Zastosowanie GIS w logistyce,lab,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Łukasz Drąg,Prezentacja wyników badań,konw,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Łukasz Drąg,Podstawy programowania,lab,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Łukasz Drąg,Podstawy programowania,wyk,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Łukasz Drąg,SIP w transporcie,wyk,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Łukasz Drąg,SIP w transporcie,lab,Trans
Wydział Zarządzania i Transportu,mgr inż. Leonard Grinke,Bazy danych w logistyce,wyk,Trans
Wydział Zarządzania i Transportu,mgr inż. Leonard Grinke,Bazy danych w logistyce,lab,Trans
Wydział Zarządzania i Transportu,mgr inż. Leonard Grinke,Contemporary transport systems (w jęz. ang.),lab,Trans
Wydział Zarządzania i Transportu,mgr inż. Leonard Grinke,Bazy danych II,lab,Inf
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Andrzej Nowak,Grafika inżynierska,lab,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Andrzej Nowak,Grafika inżynierska,wyk,Trans
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Andrzej Nowak,Bazy danych,wyk,AiR
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Andrzej Nowak,Bazy danych,lab,AiR
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Andrzej Nowak,Bazy danych II,wyk,Inf
Wydział Zarządzania i Transportu,prof. UBB dr hab. inż. Andrzej Nowak,Bazy danych II,lab,Inf
