Wydział,Katedra,Koordynator,Przedmiot,Typ
Wydział Humanistyczno-Społeczny,I45 Pedagogiki,Zawada Ernest,UTW - zajęcia sekcji malarskiej (2x w miesiącu) 4.10.2024-28.02.2025 - UTW - zajęcia sekcji malarskiej (2x w miesiącu) 4.10.2024-28.02.2025,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Brenet Tomasz,Hlh - Historia literatury hiszpańskiej,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Brenet Tomasz,Pk - Przekład konferencyjny,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Brenet Tomasz,Pnjapu - Praktyczna nauka języka angielskiego - przekład ustny,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Brenet Tomasz,Tu - Tłumaczenie ustne,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Chłopek Dorota,Goja - Gramatyka opisowa języka angielskiego,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Cieślar-Śliż Ilona,Pzjheu - Praktyczna znajomość języka hiszpańskiego- ekspresja ustna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Cieślar-Śliż Ilona,Pzjhćg - Praktyczna znajomość języka hiszpańskiego - ćwiczenia gramatyczne,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Cieślar-Śliż Ilona,Spotkanie w sprawie praktyk studenckich NZ 02.03 - Spotkanie w sprawie praktyk studenckich NZ 02.03,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Dimeo Álvarez Carlos,Iiatl - Interpretacja i analiza tekstów literackich,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Dimeo Álvarez Carlos,Kd - Konwersatorium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Dimeo Álvarez Carlos,Lh - Literatura hispanoamerykańska,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Dimeo Álvarez Carlos,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Dimeo Álvarez Carlos,Sm - Seminarium magisterskie,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Dimeo Álvarez Carlos,Tl - Teoria literatury,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Dunat Sebastian,Pzjaep - Praktyczna znajomość języka angielskiego - ekspresja pisemna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Dunat Sebastian,Pzjaćg - Praktyczna znajomość języka angielskiego - ćwiczenia gramatyczne,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Gardaś Arkadiusz,Pnjakw - Praktyczna nauka języka angielskiego - komunikacja werbalna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Gardaś Arkadiusz,Pzjaep - Praktyczna znajomość języka angielskiego - ekspresja pisemna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Hasior Aleksandra,Pzjhtts - Praktyczna znajomość języka hiszpańskiego - tłumaczenie tekstów specjalistycznych,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Jarczok Anita,"Hla</strong> (Środa 09:00-09:45) - Historia literatruy amerykańskiej, występowanie: (L) Stacjonarne<br><strong>Hla</strong> (Środa 13:30-15:00) - Historia literatury amerykańskiej, występowanie: (L) Stacjonarne<br><strong>Pnja - Praktyczna nauka języka angielskiego",nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Jarczok Anita,Pnjapta - Praktyczna nauka języka angielskiego - pisanie tekstów akademickich,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Jopek-Bizoń Małgorzata,Mpzuzspe - Metodyka pracy z uczniem ze specjalnymi potrzebami edukacyjnymi,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Jopek-Bizoń Małgorzata,Ppnjodbotafltc - Pedagogiczne podstawy nauczania języka obcego dzieci/Pedagogical basics of teaching a foreign language to children,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kaliciak Maria,Pzjazsrik - Praktyczna znajomość języka angielskiego - zintegrowana sprawność rozumienia i konwersacji,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kasperek Dominika,Kwbwjh - Komunikacja w biznesie w języku hiszpańskim,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kasperek Dominika,Pzjheu - Praktyczna znajomość języka hiszpańskiego - ekspresja ustna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kliś Agnieszka,Jm - Język medyczny,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kliś Agnieszka,Pzjaep - Praktyczna znajomość języka angielskiego - ekspresja pisemna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kliś Agnieszka,Pzjaptuil - Praktyczna znajomość języka angielskiego - przekład tekstów użytkowych i literackich,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kocel-Duraj Agnieszka,Ptsnja - Przekład tekstów specjalistycznych na język angielski,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kocel-Duraj Agnieszka,Pzjaptuil - Praktyczna znajomość języka angielskiego - przekład tekstów użytkowych i literackich,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kocel-Duraj Agnieszka,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Kocel-Duraj Agnieszka,Wtj - Współczesne teorie językoznawcze,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Konkol Sławomir,Hla - Historia literatury angielskiej,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Konkol Sławomir,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Korusiewicz Maria,Wzzhikaoj - Wybrane zadagnienia z historii i kultury angielskiego obszaru językowego,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lewandowska Elwira,Dsja - Dydaktyka szczegółowa języka angielskiego,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lewandowska Elwira,Mbg - Metodologia badań glottodydaktycznych,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lewandowska Elwira,Njauwwsip - Nauczanie języka angielskiego uczniów w wieku szkolnym i przedszkolnym,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lewandowska Elwira,Pzjazsrik - Praktyczna znajomość języka angielskiego - zintegrowana sprawność rozumienia i konwersacji,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lewandowska Elwira,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lewandowska Elwira,Sm - Seminarium magisterskie,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lisecki Michał,Ktwt - Komputerowe techniki wspomagania tłumaczenia,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lisecki Michał,Pa - Przekład audiowizualny,laboratorium
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lisecki Michał,Pzjaptuil - Praktyczna znajomość języka angielskiego - przekład tekstów użytkowych i literackich,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Lisecki Michał,Wtj - Współczesne teorie językoznawcze,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Marek Monika,Odrabianie zajeć 28.02 - Odrabianie zajeć 28.02,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Marek Monika,Pzjaćg - Praktyczna znajomość języka angielskiego - ćwiczenia gramatyczne,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Markiewka Tomasz,Pzjaptuil - Praktyczna znajomość języka angielskiego - przekład tekstów użytkowych i literackich,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Markiewka Tomasz,Sm - Seminarium magisterskie,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Markiewka Tomasz,Tp - Teoria przekładu,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Markiewka Tomasz,Wdl - Wstęp do literaturoznawstwa,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Markiewka Tomasz,Wtblik - Współczesne teorie badań literaturoznawczych i kulturowych,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Niemiec Maciej,Pzjazsrik - Praktyczna znajomość języka angielskiego - zintegrowana sprawność rozumienia i konwersacji,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Okoń Marzena,JawtzsrikII - Język angielski w turystyce - zintegrowana sprawność rozumienia i konwersacji II,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Okoń Marzena,Kd - Konwersatorium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Okoń Marzena,Próby przed koncertem 28.02 - Próby przed koncertem 28.02,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Okoń Marzena,Pzjaep - Praktyczna znajomość języka angielskiego - ekspresja pisemna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Palion-Musioł Agnieszka,Kd - Konwersatorium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Palion-Musioł Agnieszka,Pzjhjs - Praktyczna znajomość języka hiszpańskiego - język specjalistyczny,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Palion-Musioł Agnieszka,Pzjhćg - Praktyczna znajomość języka hiszpańskiego- ćwiczenia gramatyczne,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Pysz Kamil,Pzjaep - Praktyczna znajomość języka angielskiego - ekspresja pisemna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Raułyk-Dumanow Małgorzata,Jb1 - Język biznesu 1,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Raułyk-Dumanow Małgorzata,Pnjapta - Praktyczna nauka języka angielskiego - pisanie tekstów akademickich,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Raułyk-Dumanow Małgorzata,Pzjaep - Praktyczna znajomość języka angielskiego - ekspresja pisemna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Szatanik Zuzanna,Kd - Konwersatorium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Szatanik Zuzanna,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Szatanik Zuzanna,Sesja poprawkowa 27.02 - Sesja poprawkowa 27.02,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Szatanik Zuzanna,Wla - Współczesna literatura angielska,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Szczygłowska Tatiana,Kd - Konwersatorium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Szczygłowska Tatiana,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Szczygłowska Tatiana,Tp - Tłumaczenie pisemne,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Vidal Jaume,Hikhoj - Historia i kultura hiszpańskiego obszaru językowego,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Vidal Jaume,Hk - Hiszpański kolokwialny,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Vidal Jaume,Pz2gjkjk - Praktyczna znajomość 2-go języka kierunkowego - język kataloński,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Vidal Jaume,Pzjhep - Praktyczna znajomość języka hiszpańskiego - ekspresja pisemna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Vidal Jaume,Pzjhzsrik - Praktyczna znajomość języka hiszpańskiego - zintegrowana sprawność rozumienia i konwersacji,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Wieczorek Anna,Jb2 - Język biznesu 2,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Wieczorek Anna,Pd - Podstawy dydaktyki,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Wieczorek Anna,Pnsjaeuspp - Praktyczna nauka specjalistycznego języka angielskiego - ekspresja ustna-sztuka przemówień publicznych,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Wieczorek Anna,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Wiśniewska Natalia,Gojh - Gramatyka opisowa języka hiszpańskiego,wykład
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Wiśniewska Natalia,Pl - Przekład literacki,ćwiczenia
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Wiśniewska Natalia,Pzjhep - Praktyczna znajomość języka hiszpańskiego- ekspresja pisemna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Wiśniewska Natalia,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Worek Katarzyna,Hjb - Hiszpański język biznesu,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Worek Katarzyna,Pzjheu - Praktyczna znajomość języka hiszpańskiego - ekspresja ustna,nieznany
Wydział Humanistyczno-Społeczny,I49 Neofilologii,Worek Katarzyna,Pzjhrzs - Praktyczna znajomość języka hiszpańskiego- rozumienie ze słuchu,nieznany
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Banot Aleksandra,Ipn - Indywidualizacja procesu nauczania,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Banot Aleksandra,Lp - Literatura powszechna,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Będkowska-Kopczyk Agnieszka,Aikt - Adiustacja i korekta tekstu,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Będkowska-Kopczyk Agnieszka,Ezpt - Etyczne zagadnienia pracy tłumacza,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Będkowska-Kopczyk Agnieszka,Ko - Kultura organizacyjna,nieznany
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Będkowska-Kopczyk Agnieszka,Wdj - Wstęp do językoznawstwa,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Bergiel Anna,Pt - Pisanie tekstów,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Bernacki Marek,Oir - Oświecenie i romantyzm,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Bernacki Marek,Srir - Sztuka redagowania i retoryki,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Bernacki Marek,WmpI - Wykład monograficzny polonistyczny I,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Czernek-Pasierbek Paulina,Lpdm - Literatura polska dwudziestolecia miedzywojennego,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Gajewska Ewelina,Ghzejs - Gram. hist.j.pol. z elem. jęz. s.c.s,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Gajewska Ewelina,Jmip - Język mediów i polityki,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Gajewska Ewelina,Kj - Kultura języka,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Gajewska Ewelina,Lt - Lingwistyka tekstu,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Gajewska Ewelina,Oio - Ortografia i ortofonia,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Kopczyk Michał,Hklik - Historyczne konteksty liter. i kult.polskiej,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Kopczyk Michał,Sm - Seminarium magisterskie,nieznany
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Kopczyk Michał,Tl - Teoria literatury,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Matuszek Angelika,Mnjilpwsp - Metodyka nauczania języka i lit. pol. w szkole podstawowej,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Matuszek Angelika,Pafo - Prawne aspekty funkcjonowania oświaty,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Matuszek Angelika,Pdwpn - Pomiar dydaktyczny w pracy nauczyciela,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Matuszek Angelika,Pwo - Prawo w oświacie,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Matuszek Angelika,Wpwn - Warsztat pracy wychowawczej nauczyciela,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Romaniszyn-Ziomek Lidia,Dział Współpracy Międzynarodowej - zajęcia z języka polskiego (L) - Dział Współpracy Międzynarodowej - zajęcia z języka polskiego (L),nieznany
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Romaniszyn-Ziomek Lidia,Oir - Oświecenie i romantyzm,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Romaniszyn-Ziomek Lidia,Pz2gjkjp - Praktyczna znajomość 2-go języka kierunkowego - język portugalski,nieznany
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Romaniszyn-Ziomek Lidia,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Stępień Tomasz,Aiidl - Analiza i interpretacja dzieła literackiego,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Stępień Tomasz,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Stępień Tomasz,Wzzhl - Wybrane zagadnienia z historii literatury,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Szarlej Jolanta,Gom - Gramatyka opisowa-morfologia,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Szarlej Jolanta,Konsultacje - Konsultacje,nieznany
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Szarlej Jolanta,LLL - Leksyka. Leksykografia. Leksykologia,ćwiczenia
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Szarlej Jolanta,Wdj - Wstęp do językoznawstwa,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Szarlej Jolanta,WmpI - Wykład monograficzny polonistyczny II,wykład
Wydział Humanistyczno-Społeczny,K48 Polonistyki,Tomalak Barbara,Wok - Wiedza o kulturze,wykład
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Brom Przemysław,Ki - Komunikacja interpersonalna,wykład
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Brom Przemysław,Nh - Negocjacje handlowe,wykład
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Brom Przemysław,Pedt - Podstawy ekonomii dla tłumaczy,ćwiczenia
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Brom Przemysław,Pk - Psychologia komunikacji,wykład
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Brom Przemysław,Psy - Psycholingwistyka,wykład
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Feruga Krzysztof,Ti - Technologia informacyjna,ćwiczenia
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Foltyniak-Pękala Anna,Pk(Cd) - Projektowanie komunikacji (Communication design),wykład
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Lewicz-Więcław Marta,Pfc - Podstawy fotografii cyfrowej,projektowanie
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Ostrowska-Knapik Agata,Eg - Emisja głosu,ćwiczenia
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Ostrowska-Knapik Agata,Eihg - Emisja i higiena głosu,ćwiczenia
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Ostrowska-Knapik Agata,Rieg - Retoryka i emisja głosu,nieznany
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Ostrowska-Knapik Agata,Rwp - Retoryka w praktyce,ćwiczenia
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Ożańska-Ponikwia Katarzyna,Dpja - Dydaktyka przedmiotowa języka angielskiego,wykład
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Pisarek Jędrzej,Pfc - Podstawy fotografii cyfrowej,projektowanie
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Pysz Robert,Sd - Seminarium dyplomowe,nieznany
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Urbańska Daria,Cop - Copywriting,ćwiczenia
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Żyła Mateusz,Aiitk - Analiza i interpretacja tekstu kultury,ćwiczenia
Wydział Humanistyczno-Społeczny,K50 Teorii i Praktyk Komunikacji,Żyła Mateusz,Likp - Literatura i kultura popularna,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Antonik-Popiołek Patrycja,Oi - Obliczenia inżynierskie,projektowanie
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Antonik-Popiołek Patrycja,Wm1 - Wytrzymałość materiałów 1,ćwiczenia
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Bączek Marcin,FI - Fizyka I,ćwiczenia
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Bączek Marcin,Wzzf - Wybrane zagadnienia z fizyki,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Basiura-Cembala Monika,F2 - Fizyka 2,laboratorium
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Basiura-Cembala Monika,Pfmm - Podstawy fizyki miękkiej materii,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Basiura-Cembala Monika,Ren - Rentgenografia,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Biniaś Dorota,Bjwu - Badania jakościowe wody użytkowej,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Biniaś Dorota,Go - Gospodarka odpadami,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Biniaś Włodzimierz,Pme - Projektowanie materiałów elastycznych,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Biniaś Włodzimierz,Smbm - Spektroskopowe metody badań materiałów,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Brachaczek Wacław,Ib - Instalacje budowlane,projektowanie
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Brachaczek Wacław,Mb1 - Materiały budowlane 1,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Brachaczek Wacław,Tb - Technologia betonu,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Chmura Damian,Bieo - Biologia i ekologia ogólna,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Chmura Damian,Bio - Biocenologia,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Chmura Damian,Sta - Statystyka,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Chmura Damian,Sup - Synantropizacja układów przyrodniczych,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Drabczyk Kazimierz,Ip - Instalacje proekologiczne,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Fabia Janusz,Ee - Efektywność energetyczna,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Fabia Janusz,Pts - Przetwórstwo tworzyw sztucznych,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Fryczkowska Beata,Coia - Chemia ogólna i analityczna,laboratorium
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Fryczkowski Ryszard,Pmp - Polimerowe materiały powłokotwórcze,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Gabryś Tobiasz,Fiz - Fizyka,laboratorium
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Gabryś Tobiasz,Kt - Korozja techniczna,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Gabryś Tobiasz,Mb1 - Materiały budowlane 1,laboratorium
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Gawłowski Andrzej,"Owik - Ogrzewnictwo, wentylacja i klimatyzacja",wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Gawłowski Andrzej,Pts - Przetwórstwo tworzyw sztucznych,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Gawłowski Paweł,Geo - Geodezja,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Graczyk Tadeusz,ACA - ACAD,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Graczyk Tadeusz,Mitk - Materiały i technologie kompozytowe,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Graczyk Tadeusz,Pm - Podstawy metrologii,ćwiczenia
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Grübel Klaudiusz,Bjwu - Badania jakościowe wody użytkowej,laboratorium
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Grübel Klaudiusz,Ip - Instalacje proekologiczne,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Grzybowska-Pietras Joanna,Mb1 - Materiały budowlane 1,laboratorium
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Grzybowska-Pietras Joanna,Zb - Zielone budownictwo,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Gwóźdź-Lasoń Monika,Tb - Technologia betonu,laboratorium
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Harat Andrzej,Eb - Ekonomika budownictwa,projektowanie
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Harat Andrzej,Epiowi - Elementy prawa i ochrony własności intelektualnej,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Harat Andrzej,Iewoś - Instrumenty ekonomiczne w ochronie środowiska,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Harat Andrzej,Kpi - Kierowanie procesem inwestycyjnym,wykład
"Wydział Inżynierii Materiałów, Budownictwa i Środowiska",I25 Nauk Inżynieryjnych,Harat Andrzej,Pb - Prawo budowlane,wykład
